Te,z_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8940,185000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13400,188000000,,,,,,,,,,,,,,,,,,,,,,,,102000,,197000000,,213000000,,260000000,,390000000,,586000000,,879000000,,1320000000
20100,188000000,,,,,,,,,,,,,,,,,,,,,,,,789000,,1980000000,,2970000000,,4450000000,,6680000000,,10000000000,,15100000000,,22600000000
30200,188000000,,,,,,,,,,,,,,,,,,,,,,,,1840000,,33900000000,,50800000000,,76300000000,,114000000000,,172000000000,,258000000000,,387000000000
45300,188000000,,,,,,,,,,,,,,,,,,,,,,,,2360000,,580000000000,,2360000,,2360000,,2360000,,,,,,
68000,189000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102000,191000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153000,197000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230000,213000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345000,260000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506000,390000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647000,586000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789000,879000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937000,1320000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100000,1980000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270000,2970000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450000,4450000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640000,6680000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840000,10000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020000,15100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2170000,22600000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280000,33900000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2340000,50800000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350000,76300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2360000,114000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2360000,172000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2360000,258000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2360000,387000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2360000,580000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
