nbpts,z_h,Te
1,-7500000,8320
2,65010000,4700.1
3,137520000,6277
4,210030000,8492.9
5,282540000,376770
6,355050000,468010
7,427560000,535880
8,500070000,589720
9,572580000,638520
10,645090000,678440
11,717600000,715090
12,790110000,749600
13,862620000,781980
14,935130000,809580
15,1007600000,835410
16,1080200000,860390
17,1152700000,884530
18,1225200000,907820
19,1297700000,930260
20,1370200000,950790
21,1442700000,970310
22,1515200000,989350
23,1587700000,1007900
24,1660200000,1026000
25,1732700000,1043600
26,1805300000,1060700
27,1877800000,1077400
28,1950300000,1093500
29,2022800000,1108200
30,2095300000,1121800
31,2167800000,1135300
32,2240300000,1148600
33,2312800000,1161600
34,2385300000,1174400
35,2457800000,1187000
36,2530400000,1199400
37,2602900000,1211600
38,2675400000,1223600
39,2747900000,1235300
40,2820400000,1246900
41,2892900000,1258200
42,2965400000,1269300
43,3037900000,1279200
44,3110400000,1288900
45,3182900000,1298500
46,3255500000,1308100
47,3328000000,1317500
48,3400500000,1326800
49,3473000000,1336000
50,3545500000,1345100
51,3618000000,1354100
52,3690500000,1363000
53,3763000000,1371800
54,3835500000,1380500
55,3908000000,1389100
56,3980600000,1397600
57,4053100000,1405900
58,4125600000,1414200
59,4198100000,1422400
60,4270600000,1430500
61,4343100000,1438400
62,4415600000,1446300
63,4488100000,1453600
64,4560600000,1460500
65,4633100000,1467300
66,4705700000,1474100
67,4778200000,1480800
68,4850700000,1487400
69,4923200000,1494100
70,4995700000,1500600
71,5068200000,1507200
72,5140700000,1513600
73,5213200000,1520100
74,5285700000,1526400
75,5358200000,1532800
76,5430800000,1539100
77,5503300000,1545300
78,5575800000,1551500
79,5648300000,1557700
80,5720800000,1563800
81,5793300000,1569800
82,5865800000,1575800
83,5938300000,1581800
84,6010800000,1587700
85,6083300000,1593500
86,6155900000,1599400
87,6228400000,1605100
88,6300900000,1610900
89,6373400000,1616500
90,6445900000,1622200
91,6518400000,1627700
92,6590900000,1633300
93,6663400000,1638800
94,6735900000,1643900
95,6808400000,1649000
96,6881000000,1654000
97,6953500000,1658900
98,7026000000,1663900
99,7098500000,1668800
100,7171000000,1673700
101,7243500000,1678500
102,7316000000,1683400
103,7388500000,1688200
104,7461000000,1692900
105,7533500000,1697700
106,7606100000,1702400
107,7678600000,1707000
108,7751100000,1711700
109,7823600000,1716300
110,7896100000,1720800
111,7968600000,1725400
112,8041100000,1729900
113,8113600000,1734400
114,8186100000,1738800
115,8258600000,1743200
116,8331200000,1747600
117,8403700000,1752000
118,8476200000,1756300
119,8548700000,1760600
120,8621200000,1764900
121,8693700000,1769100
122,8766200000,1773300
123,8838700000,1777500
124,8911200000,1781600
125,8983700000,1785700
126,9056300000,1789800
127,9128800000,1793800
128,9201300000,1797900
129,9273800000,1801800
130,9346300000,1805800
131,9418800000,1809700
132,9491300000,1813600
133,9563800000,1817500
134,9636300000,1821300
135,9708800000,1825100
136,9781400000,1828800
137,9853900000,1832600
138,9926400000,1836300
139,9998900000,1839900
140,10071000000,1843000
141,10144000000,1845900
142,10216000000,1848900
143,10289000000,1851900
144,10361000000,1854800
145,10434000000,1857800
146,10506000000,1860700
147,10579000000,1863600
148,10651000000,1866500
149,10724000000,1869400
150,10796000000,1872300
151,10869000000,1875100
152,10942000000,1878000
153,11014000000,1880800
154,11087000000,1883600
155,11159000000,1886500
156,11232000000,1889200
157,11304000000,1892000
158,11377000000,1894800
159,11449000000,1897600
160,11522000000,1900300
161,11594000000,1903000
162,11667000000,1905800
163,11739000000,1908500
164,11812000000,1911200
165,11884000000,1913900
166,11957000000,1916500
167,12029000000,1919200
168,12102000000,1921800
169,12174000000,1924500
170,12247000000,1927100
171,12319000000,1929700
172,12392000000,1932300
173,12464000000,1934900
174,12537000000,1937400
175,12609000000,1940000
176,12682000000,1942500
177,12754000000,1945100
178,12827000000,1947600
179,12899000000,1950100
180,12972000000,1952600
181,13044000000,1955000
182,13117000000,1957500
183,13189000000,1960000
184,13262000000,1962400
185,13334000000,1964800
186,13407000000,1967200
187,13479000000,1969600
188,13552000000,1972000
189,13624000000,1974400
190,13697000000,1976800
191,13769000000,1979100
192,13842000000,1981500
193,13914000000,1983800
194,13987000000,1986100
195,14059000000,1988400
196,14132000000,1990700
197,14204000000,1993000
198,14277000000,1995200
199,14349000000,1997500
200,14422000000,1999700
201,14495000000,2001900
202,14567000000,2004100
203,14640000000,2006300
204,14712000000,2008500
205,14785000000,2010700
206,14857000000,2012900
207,14930000000,2015000
208,15002000000,2017100
209,15075000000,2019300
210,15147000000,2021100
211,15220000000,2022900
212,15292000000,2024600
213,15365000000,2026300
214,15437000000,2028100
215,15510000000,2029800
216,15582000000,2031500
217,15655000000,2033200
218,15727000000,2034900
219,15800000000,2036600
220,15872000000,2038300
221,15945000000,2040000
222,16017000000,2041600
223,16090000000,2043300
224,16162000000,2045000
225,16235000000,2046600
226,16307000000,2048300
227,16380000000,2049900
228,16452000000,2051600
229,16525000000,2053200
230,16597000000,2054900
231,16670000000,2056500
232,16742000000,2058100
233,16815000000,2059700
234,16887000000,2061300
235,16960000000,2062900
236,17032000000,2064500
237,17105000000,2066100
238,17177000000,2067700
239,17250000000,2069300
240,17322000000,2070900
241,17395000000,2072400
242,17467000000,2074000
243,17540000000,2075500
244,17612000000,2077100
245,17685000000,2078600
246,17757000000,2080200
247,17830000000,2081700
248,17902000000,2083200
249,17975000000,2084800
250,18047000000,2086300
251,18120000000,2087800
252,18193000000,2089300
253,18265000000,2090800
254,18338000000,2092300
255,18410000000,2093800
256,18483000000,2095300
257,18555000000,2096700
258,18628000000,2098200
259,18700000000,2099700
260,18773000000,2101100
261,18845000000,2102600
262,18918000000,2104000
263,18990000000,2105500
264,19063000000,2106900
265,19135000000,2108300
266,19208000000,2109800
267,19280000000,2111200
268,19353000000,2112600
269,19425000000,2114000
270,19498000000,2115400
271,19570000000,2116800
272,19643000000,2118200
273,19715000000,2119600
274,19788000000,2121000
275,19860000000,2122300
276,19933000000,2123700
277,20005000000,2125100
278,20078000000,2126400
279,20150000000,2127800
280,20223000000,2129100
281,20295000000,2130400
282,20368000000,2131800
283,20440000000,2133100
284,20513000000,2134400
285,20585000000,2135700
286,20658000000,2137100
287,20730000000,2138400
288,20803000000,2139700
289,20875000000,2140900
290,20948000000,2142200
291,21020000000,2143500
292,21093000000,2144800
293,21165000000,2146100
294,21238000000,2147300
295,21310000000,2148600
296,21383000000,2149800
297,21455000000,2151100
298,21528000000,2152300
299,21600000000,2153600
300,21673000000,2154800
301,21746000000,2156000
302,21818000000,2157200
303,21891000000,2158400
304,21963000000,2159600
305,22036000000,2160800
306,22108000000,2162000
307,22181000000,2163200
308,22253000000,2164400
309,22326000000,2165600
310,22398000000,2166800
311,22471000000,2167900
312,22543000000,2169100
313,22616000000,2170200
314,22688000000,2171100
315,22761000000,2172000
316,22833000000,2172800
317,22906000000,2173700
