nbpts,z_h,Te
1,-7.50E+06,8.32E+03
2,6.50E+07,4.70E+03
3,1.38E+08,6.28E+03
4,2.10E+08,8.51E+03
5,2.83E+08,3.44E+05
6,3.55E+08,4.41E+05
7,4.28E+08,5.18E+05
8,5.00E+08,5.73E+05
9,5.73E+08,6.24E+05
10,6.45E+08,6.66E+05
11,7.18E+08,7.04E+05
12,7.90E+08,7.39E+05
13,8.63E+08,7.72E+05
14,9.35E+08,8.01E+05
15,1.01E+09,8.27E+05
16,1.08E+09,8.53E+05
17,1.15E+09,8.77E+05
18,1.23E+09,9.01E+05
19,1.30E+09,9.23E+05
20,1.37E+09,9.45E+05
21,1.44E+09,9.64E+05
22,1.52E+09,9.83E+05
23,1.59E+09,1.00E+06
24,1.66E+09,1.02E+06
25,1.73E+09,1.04E+06
26,1.81E+09,1.06E+06
27,1.88E+09,1.07E+06
28,1.95E+09,1.09E+06
29,2.02E+09,1.10E+06
30,2.10E+09,1.12E+06
31,2.17E+09,1.13E+06
32,2.24E+09,1.14E+06
33,2.31E+09,1.16E+06
34,2.39E+09,1.17E+06
35,2.46E+09,1.18E+06
36,2.53E+09,1.20E+06
37,2.60E+09,1.21E+06
38,2.68E+09,1.22E+06
39,2.75E+09,1.23E+06
40,2.82E+09,1.24E+06
41,2.89E+09,1.25E+06
42,2.97E+09,1.27E+06
43,3.04E+09,1.28E+06
44,3.11E+09,1.29E+06
45,3.18E+09,1.30E+06
46,3.26E+09,1.31E+06
47,3.33E+09,1.31E+06
48,3.40E+09,1.32E+06
49,3.47E+09,1.33E+06
50,3.55E+09,1.34E+06
51,3.62E+09,1.35E+06
52,3.69E+09,1.36E+06
53,3.76E+09,1.37E+06
54,3.84E+09,1.38E+06
55,3.91E+09,1.39E+06
56,3.98E+09,1.39E+06
57,4.05E+09,1.40E+06
58,4.13E+09,1.41E+06
59,4.20E+09,1.42E+06
60,4.27E+09,1.43E+06
61,4.34E+09,1.44E+06
62,4.42E+09,1.44E+06
63,4.49E+09,1.45E+06
64,4.56E+09,1.46E+06
65,4.63E+09,1.47E+06
66,4.71E+09,1.47E+06
67,4.78E+09,1.48E+06
68,4.85E+09,1.49E+06
69,4.92E+09,1.49E+06
70,5.00E+09,1.50E+06
71,5.07E+09,1.51E+06
72,5.14E+09,1.51E+06
73,5.21E+09,1.52E+06
74,5.29E+09,1.52E+06
75,5.36E+09,1.53E+06
76,5.43E+09,1.54E+06
77,5.50E+09,1.54E+06
78,5.58E+09,1.55E+06
79,5.65E+09,1.56E+06
80,5.72E+09,1.56E+06
81,5.79E+09,1.57E+06
82,5.87E+09,1.57E+06
83,5.94E+09,1.58E+06
84,6.01E+09,1.59E+06
85,6.08E+09,1.59E+06
86,6.16E+09,1.60E+06
87,6.23E+09,1.60E+06
88,6.30E+09,1.61E+06
89,6.37E+09,1.61E+06
90,6.45E+09,1.62E+06
91,6.52E+09,1.63E+06
92,6.59E+09,1.63E+06
93,6.66E+09,1.64E+06
94,6.74E+09,1.64E+06
95,6.81E+09,1.65E+06
96,6.88E+09,1.65E+06
97,6.95E+09,1.66E+06
98,7.03E+09,1.66E+06
99,7.10E+09,1.67E+06
100,7.17E+09,1.67E+06
101,7.24E+09,1.68E+06
102,7.32E+09,1.68E+06
103,7.39E+09,1.69E+06
104,7.46E+09,1.69E+06
105,7.53E+09,1.70E+06
106,7.61E+09,1.70E+06
107,7.68E+09,1.71E+06
108,7.75E+09,1.71E+06
109,7.82E+09,1.71E+06
110,7.90E+09,1.72E+06
111,7.97E+09,1.72E+06
112,8.04E+09,1.73E+06
113,8.11E+09,1.73E+06
114,8.19E+09,1.74E+06
115,8.26E+09,1.74E+06
116,8.33E+09,1.75E+06
117,8.40E+09,1.75E+06
118,8.48E+09,1.76E+06
119,8.55E+09,1.76E+06
120,8.62E+09,1.76E+06
121,8.69E+09,1.77E+06
122,8.77E+09,1.77E+06
123,8.84E+09,1.78E+06
124,8.91E+09,1.78E+06
125,8.98E+09,1.78E+06
126,9.06E+09,1.79E+06
127,9.13E+09,1.79E+06
128,9.20E+09,1.80E+06
129,9.27E+09,1.80E+06
130,9.35E+09,1.80E+06
131,9.42E+09,1.81E+06
132,9.49E+09,1.81E+06
133,9.56E+09,1.82E+06
134,9.64E+09,1.82E+06
135,9.71E+09,1.82E+06
136,9.78E+09,1.83E+06
137,9.85E+09,1.83E+06
138,9.93E+09,1.84E+06
139,1.00E+10,1.84E+06
140,1.01E+10,1.84E+06
141,1.01E+10,1.85E+06
142,1.02E+10,1.85E+06
143,1.03E+10,1.85E+06
144,1.04E+10,1.85E+06
145,1.04E+10,1.86E+06
146,1.05E+10,1.86E+06
147,1.06E+10,1.86E+06
148,1.07E+10,1.87E+06
149,1.07E+10,1.87E+06
150,1.08E+10,1.87E+06
151,1.09E+10,1.87E+06
152,1.09E+10,1.88E+06
153,1.10E+10,1.88E+06
154,1.11E+10,1.88E+06
155,1.12E+10,1.89E+06
156,1.12E+10,1.89E+06
157,1.13E+10,1.89E+06
158,1.14E+10,1.89E+06
159,1.15E+10,1.90E+06
160,1.15E+10,1.90E+06
161,1.16E+10,1.90E+06
162,1.17E+10,1.90E+06
163,1.17E+10,1.91E+06
164,1.18E+10,1.91E+06
165,1.19E+10,1.91E+06
166,1.20E+10,1.92E+06
167,1.20E+10,1.92E+06
168,1.21E+10,1.92E+06
169,1.22E+10,1.92E+06
170,1.22E+10,1.93E+06
171,1.23E+10,1.93E+06
172,1.24E+10,1.93E+06
173,1.25E+10,1.93E+06
174,1.25E+10,1.94E+06
175,1.26E+10,1.94E+06
176,1.27E+10,1.94E+06
177,1.28E+10,1.94E+06
178,1.28E+10,1.95E+06
179,1.29E+10,1.95E+06
180,1.30E+10,1.95E+06
181,1.30E+10,1.95E+06
182,1.31E+10,1.96E+06
183,1.32E+10,1.96E+06
184,1.33E+10,1.96E+06
185,1.33E+10,1.96E+06
186,1.34E+10,1.97E+06
187,1.35E+10,1.97E+06
188,1.36E+10,1.97E+06
189,1.36E+10,1.97E+06
190,1.37E+10,1.98E+06
191,1.38E+10,1.98E+06
192,1.38E+10,1.98E+06
193,1.39E+10,1.98E+06
194,1.40E+10,1.99E+06
195,1.41E+10,1.99E+06
196,1.41E+10,1.99E+06
197,1.42E+10,1.99E+06
198,1.43E+10,1.99E+06
199,1.44E+10,2.00E+06
200,1.44E+10,2.00E+06
201,1.45E+10,2.00E+06
202,1.46E+10,2.00E+06
203,1.46E+10,2.01E+06
204,1.47E+10,2.01E+06
205,1.48E+10,2.01E+06
206,1.49E+10,2.01E+06
207,1.49E+10,2.01E+06
208,1.50E+10,2.02E+06
209,1.51E+10,2.02E+06
210,1.51E+10,2.02E+06
211,1.52E+10,2.02E+06
212,1.53E+10,2.02E+06
213,1.54E+10,2.03E+06
214,1.54E+10,2.03E+06
215,1.55E+10,2.03E+06
216,1.56E+10,2.03E+06
217,1.57E+10,2.03E+06
218,1.57E+10,2.03E+06
219,1.58E+10,2.04E+06
220,1.59E+10,2.04E+06
221,1.59E+10,2.04E+06
222,1.60E+10,2.04E+06
223,1.61E+10,2.04E+06
224,1.62E+10,2.04E+06
225,1.62E+10,2.05E+06
226,1.63E+10,2.05E+06
227,1.64E+10,2.05E+06
228,1.65E+10,2.05E+06
229,1.65E+10,2.05E+06
230,1.66E+10,2.05E+06
231,1.67E+10,2.06E+06
232,1.67E+10,2.06E+06
233,1.68E+10,2.06E+06
234,1.69E+10,2.06E+06
235,1.70E+10,2.06E+06
236,1.70E+10,2.06E+06
237,1.71E+10,2.07E+06
238,1.72E+10,2.07E+06
239,1.73E+10,2.07E+06
240,1.73E+10,2.07E+06
241,1.74E+10,2.07E+06
242,1.75E+10,2.07E+06
243,1.75E+10,2.08E+06
