z_h,m  ,Te,V,pth,p_tot,n_H,n_H1,n_e
68084.4,1.18E-06,1586000,34,3.14E-02,3.23E-02,62330000,8.86,74910000
47009.3,1.55E-06,1410000,34,4.13E-02,4.26E-02,92170000,15.22,110800000
36079.5,1.82E-06,1294000,34,4.83E-02,4.99E-02,117400000,21.64,141100000
26676.6,2.11E-06,1170000,34,5.58E-02,5.79E-02,150200000,31.52,180500000
21133.1,2.33E-06,1080000,34,6.13E-02,6.37E-02,178600000,41.63,214700000
15392,2.59E-06,963700,34,6.80E-02,7.10E-02,222100000,60.13,266900000
11596.2,2.81E-06,865000,34,7.33E-02,7.69E-02,266700000,83.48,320600000
8974.24,2.99E-06,778300,34,7.76E-02,8.18E-02,313500000,113.3,376800000
7360.82,3.11E-06,711700,34,8.04E-02,8.53E-02,355600000,145.5,427400000
5762.83,3.26E-06,629300,34,8.36E-02,8.92E-02,417700000,203.4,502100000
4968.64,3.34E-06,577400,34,8.52E-02,9.15E-02,464100000,256,557800000
4295.86,3.42E-06,524300,34,8.65E-02,9.36E-02,519300000,330.3,624200000
3752.71,3.49E-06,471600,34,8.76E-02,9.55E-02,584200000,436.1,702200000
3424.99,3.53E-06,432900,34,8.81E-02,9.68E-02,640300000,545.7,769500000
3133.79,3.58E-06,392000,34,8.84E-02,9.80E-02,709600000,708.2,852900000
2970.76,3.61E-06,365000,34,8.85E-02,9.88E-02,762500000,854.9,916500000
2844.4,3.63E-06,341300,34,8.84E-02,9.94E-02,814900000,1022,979400000
2761.49,3.65E-06,324000,34,8.83E-02,9.99E-02,857100000,1174,1030000000
2688.1,3.66E-06,307300,34,8.81E-02,1.00E-01,901800000,1353,1084000000
2628.32,3.67E-06,292500,34,8.79E-02,1.01E-01,945100000,1546,1136000000
2578.23,3.69E-06,279000,34,8.76E-02,1.01E-01,987600000,1757,1187000000
2535.47,3.70E-06,266700,33.72,8.75E-02,1.01E-01,1032000000,1993,1240000000
2495.56,3.71E-06,254400,33.32,8.74E-02,1.02E-01,1082000000,2279,1300000000
2457.9,3.72E-06,241900,32.89,8.74E-02,1.02E-01,1137000000,2632,1366000000
2418.66,3.73E-06,227800,32.38,8.73E-02,1.02E-01,1205000000,3132,1448000000
2378.19,3.74E-06,212000,31.77,8.71E-02,1.02E-01,1293000000,3873,1554000000
2346.1,3.75E-06,198100,31.21,8.69E-02,1.03E-01,1380000000,4740,1659000000
2325.78,3.75E-06,188600,30.8,8.68E-02,1.03E-01,1447000000,5502,1739000000
2308.55,3.76E-06,180100,30.41,8.66E-02,1.03E-01,1513000000,6347,1819000000
2294.37,3.77E-06,172600,30.06,8.65E-02,1.03E-01,1576000000,7241,1894000000
2282.38,3.77E-06,166000,29.73,8.63E-02,1.03E-01,1637000000,8195,1966000000
2269.69,3.78E-06,158600,29.36,8.62E-02,1.03E-01,1710000000,9482,2054000000
2259.43,3.78E-06,152300,29.02,8.60E-02,1.04E-01,1778000000,10820,2135000000
2251.64,3.78E-06,147200,28.74,8.59E-02,1.04E-01,1836000000,12090,2205000000
2243.32,3.79E-06,141600,28.42,8.57E-02,1.04E-01,1905000000,13770,2288000000
2235.29,3.79E-06,135800,28.08,8.55E-02,1.04E-01,1982000000,15820,2379000000
2227.74,3.79E-06,130200,27.74,8.53E-02,1.04E-01,2064000000,18310,2477000000
2220.04,3.80E-06,124000,27.38,8.51E-02,1.04E-01,2160000000,21650,2592000000
2213.74,3.80E-06,118700,27.04,8.48E-02,1.04E-01,2251000000,25310,2700000000
2207.66,3.80E-06,113200,26.69,8.46E-02,1.04E-01,2353000000,29960,2821000000
2201.92,3.81E-06,107800,26.31,8.43E-02,1.04E-01,2465000000,35950,2953000000
2196.52,3.81E-06,102300,25.91,8.40E-02,1.04E-01,2589000000,43750,3099000000
2191.46,3.81E-06,96860,25.49,8.37E-02,1.05E-01,2727000000,54040,3259000000
2186.08,3.82E-06,90640,24.98,8.33E-02,1.05E-01,2904000000,70530,3463000000
2182.44,3.82E-06,86120,24.59,8.30E-02,1.05E-01,3049000000,87660,3628000000
2178.74,3.82E-06,81220,24.14,8.27E-02,1.05E-01,3225000000,114100,3827000000
2175.28,3.82E-06,76330,23.66,8.23E-02,1.05E-01,3422000000,161100,4049000000
2172.32,3.83E-06,71810,23.19,8.20E-02,1.05E-01,3628000000,250100,4280000000
2169.99,3.83E-06,68000,22.77,8.17E-02,1.05E-01,3822000000,405400,4497000000
2167.69,3.83E-06,63950,22.29,8.14E-02,1.05E-01,4054000000,764400,4757000000
2166.03,3.83E-06,60790,21.89,8.11E-02,1.05E-01,4255000000,1319000,4984000000
2164.56,3.83E-06,57790,21.49,8.09E-02,1.05E-01,4468000000,2253000,5222000000
2163.29,3.84E-06,55020,21.1,8.07E-02,1.05E-01,4684000000,3680000,5464000000
2162.29,3.84E-06,52690,20.75,8.05E-02,1.05E-01,4885000000,5494000,5687000000
2161.26,3.84E-06,50140,20.36,8.03E-02,1.05E-01,5127000000,8397000,5955000000
2160.63,3.84E-06,48490,20.09,8.01E-02,1.05E-01,5297000000,10950000,6142000000
2160.01,3.84E-06,46800,19.8,8.00E-02,1.05E-01,5484000000,14280000,6348000000
2159.42,3.84E-06,45140,19.51,7.99E-02,1.05E-01,5683000000,18320000,6565000000
2158.84,3.84E-06,43400,19.19,7.97E-02,1.05E-01,5908000000,23520000,6809000000
2158.21,3.84E-06,41450,18.82,7.96E-02,1.05E-01,6185000000,30920000,7107000000
2157.57,3.84E-06,39400,18.4,7.95E-02,1.05E-01,6508000000,40680000,7454000000
2156.82,3.84E-06,36870,17.85,7.94E-02,1.05E-01,6958000000,56050000,7933000000
2156.16,3.85E-06,34580,17.29,7.93E-02,1.05E-01,7433000000,74230000,8434000000
2155.5,3.85E-06,32260,16.7,7.93E-02,1.05E-01,7985000000,97980000,9013000000
2154.73,3.85E-06,29500,15.98,7.92E-02,1.05E-01,8757000000,134900000,9815000000
2154.07,3.85E-06,27130,15.33,7.92E-02,1.06E-01,9547000000,176300000,10630000000
2153.48,3.85E-06,25120,14.78,7.91E-02,1.06E-01,10330000000,221000000,11440000000
2152.87,3.85E-06,23100,14.22,7.89E-02,1.06E-01,11250000000,276900000,12370000000
2152.03,3.85E-06,20510,13.46,7.87E-02,1.06E-01,12690000000,380900000,13830000000
2151.16,3.86E-06,18140,12.72,7.84E-02,1.06E-01,14370000000,541200000,15500000000
2150.12,3.86E-06,15760,11.92,7.81E-02,1.06E-01,16630000000,878700000,17610000000
2148.65,3.87E-06,13200,10.98,7.76E-02,1.06E-01,20090000000,1749000000,20460000000
2147.05,3.88E-06,10980,10.27,7.57E-02,1.06E-01,24690000000,4413000000,22740000000
2145.16,3.89E-06,9115,9.422,7.34E-02,1.07E-01,31870000000,11650000000,23250000000
2141.93,3.92E-06,7950,8.868,7.24E-02,1.07E-01,37840000000,16930000000,24320000000
2138,3.95E-06,7248,8.535,7.24E-02,1.08E-01,42040000000,19540000000,26080000000
