nbts,z_h,Te
1,-10000000,9380
2,-9147600,9159
3,-8295200,8933.9
4,-7442800,8678.5
5,-6590400,8408.9
6,-5737900,8135.2
7,-4885500,7864.5
8,-4033100,7600.3
9,-3180700,7332.3
10,-2328300,7103.2
11,-1475900,6888.8
12,-623470,6704.5
13,228940,6538.7
14,1081400,6383
15,1933800,6241.6
16,2786200,6107.5
17,3638600,5987.8
18,4491000,5883
19,5343400,5793.4
20,6195800,5715.9
21,7048200,5643.4
22,7900600,5576.6
23,8753100,5514.7
24,9605500,5456.6
25,10458000,5403.3
26,11310000,5353.6
27,12163000,5306.1
28,13015000,5259.5
29,13868000,5216
30,14720000,5176.9
31,15572000,5144.2
32,16425000,5114.7
33,17277000,5087
34,18130000,5061.2
35,18982000,5037
36,19834000,5014.3
37,20687000,4995.8
38,21539000,4978.2
39,22392000,4960.6
40,23244000,4943.1
41,24096000,4925.5
42,24949000,4908
43,25801000,4890.9
44,26654000,4873.6
45,27506000,4856.3
46,28359000,4838.8
47,29211000,4821.3
48,30063000,4803.7
49,30916000,4786.1
50,31768000,4768.4
51,32621000,4750.6
52,33473000,4732.6
53,34325000,4714.5
54,35178000,4696
55,36030000,4676.9
56,36883000,4658
57,37735000,4639.2
58,38587000,4620.6
59,39440000,4602.1
60,40292000,4583.9
61,41145000,4566
62,41997000,4548.1
63,42850000,4530.2
64,43702000,4512.3
65,44554000,4494.4
66,45407000,4478.9
67,46259000,4466.8
68,47112000,4455.8
69,47964000,4445.8
70,48816000,4436.8
71,49669000,4430.2
72,50521000,4424.1
73,51374000,4418
74,52226000,4412
75,53078000,4408.3
76,53931000,4405.9
77,54783000,4403.5
78,55636000,4401
79,56488000,4403.1
80,57341000,4408.5
81,58193000,4414
82,59045000,4419.4
83,59898000,4424.8
84,60750000,4430.2
85,61603000,4435.9
86,62455000,4444.6
87,63307000,4456.1
88,64160000,4470.2
89,65012000,4487.1
90,65865000,4506.6
91,66717000,4531.3
92,67569000,4557.8
93,68422000,4585.5
94,69274000,4614.4
95,70127000,4644.5
96,70979000,4675.2
97,71832000,4707.5
98,72684000,4741.1
99,73536000,4776.3
100,74389000,4812.9
101,75241000,4850.6
102,76094000,4889.4
103,76946000,4929.9
104,77798000,4972.2
105,78651000,5016.4
106,79503000,5062.4
107,80356000,5112.4
108,81208000,5166
109,82060000,5219.7
110,82913000,5273.3
111,83765000,5327
112,84618000,5380.7
113,85470000,5434.7
114,86323000,5491.4
115,87175000,5546.8
116,88027000,5600.7
117,88880000,5653.2
118,89732000,5704.2
119,90585000,5752.2
120,91437000,5798.9
121,92289000,5845.2
122,93142000,5891.2
123,93994000,5936.8
124,94847000,5983.2
125,95699000,6030.2
126,96551000,6073.8
127,97404000,6113
128,98256000,6148.3
129,99109000,6181.6
130,99961000,6213
131,100810000,6242
132,101670000,6269.2
133,102520000,6295.1
134,103370000,6319.8
135,104220000,6343.1
136,105080000,6365.3
137,105930000,6386.4
138,106780000,6406.6
139,107630000,6425.8
140,108490000,6443.7
141,109340000,6460.3
142,110190000,6475.5
143,111040000,6488.8
144,111890000,6501.1
145,112750000,6512.6
146,113600000,6523.1
147,114450000,6532
148,115300000,6537.4
149,116160000,6542.8
150,117010000,6548.2
151,117860000,6553.6
152,118710000,6559
153,119570000,6564.4
